word;classes;pronoun;noun;adjective;adverb;verb;article;preposition;conjunction;interjection;other
a;noun, indefinite article;False;True;False;False;False;True;False;False;False;False
abandon;verb, noun;False;True;False;False;True;False;False;False;False;False
ability;noun;False;True;False;False;False;False;False;False;False;False
able;adjective;False;False;True;False;False;False;False;False;False;False
about;adverb, preposition, adjective;False;False;True;True;False;False;True;False;False;False
above;adverb, preposition, adjective;False;False;True;True;False;False;True;False;False;False
abroad;adverb;False;False;False;True;False;False;False;False;False;False
absence;noun;False;True;False;False;False;False;False;False;False;False
absent;adjective, verb, preposition;False;False;True;False;True;False;True;False;False;False
absolute;adjective;False;False;True;False;False;False;False;False;False;False
abstract;adjective, noun, verb;False;True;True;False;True;False;False;False;False;False
abuse;verb, noun;False;True;False;False;True;False;False;False;False;False
abusive;adjective;False;False;True;False;False;False;False;False;False;False
academic;adjective, noun;False;True;True;False;False;False;False;False;False;False
accede;verb;False;False;False;False;True;False;False;False;False;False
accept;verb;False;False;False;False;True;False;False;False;False;False
acceptable;adjective;False;False;True;False;False;False;False;False;False;False
acceptance;noun;False;True;False;False;False;False;False;False;False;False
access;noun, verb;False;True;False;False;True;False;False;False;False;False
accident;noun;False;True;False;False;False;False;False;False;False;False
accolade;noun;False;True;False;False;False;False;False;False;False;False
accompany;verb;False;False;False;False;True;False;False;False;False;False
accomplish;verb;False;False;False;False;True;False;False;False;False;False
accord;noun, verb;False;True;False;False;True;False;False;False;False;False
according+to;;False;False;False;False;False;False;False;False;False;True
account;noun, verb;False;True;False;False;True;False;False;False;False;False
accountant;noun;False;True;False;False;False;False;False;False;False;False
accurate;adjective;False;False;True;False;False;False;False;False;False;False
accuse;verb;False;False;False;False;True;False;False;False;False;False
ache;verb, noun;False;True;False;False;True;False;False;False;False;False
achieve;verb;False;False;False;False;True;False;False;False;False;False
acknowledge;verb;False;False;False;False;True;False;False;False;False;False
acquire;verb;False;False;False;False;True;False;False;False;False;False
acquit;verb;False;False;False;False;True;False;False;False;False;False
acronym;noun;False;True;False;False;False;False;False;False;False;False
across;preposition, adverb;False;False;False;True;False;False;True;False;False;False
act;noun, verb;False;True;False;False;True;False;False;False;False;False
action;noun;False;True;False;False;False;False;False;False;False;False
active;adjective;False;False;True;False;False;False;False;False;False;False
activity;noun;False;True;False;False;False;False;False;False;False;False
actor;noun;False;True;False;False;False;False;False;False;False;False
actress;noun;False;True;False;False;False;False;False;False;False;False
actual;adjective;False;False;True;False;False;False;False;False;False;False
actually;adverb;False;False;False;True;False;False;False;False;False;False
ad;noun;False;True;False;False;False;False;False;False;False;False
adapt;verb;False;False;False;False;True;False;False;False;False;False
add;verb;False;False;False;False;True;False;False;False;False;False
addiction;noun;False;True;False;False;False;False;False;False;False;False
addition;noun;False;True;False;False;False;False;False;False;False;False
additional;adjective;False;False;True;False;False;False;False;False;False;False
address;verb, noun;False;True;False;False;True;False;False;False;False;False
