word;classes;pronoun;noun;adjective;adverb;verb;article;preposition;conjunction;interjection;other;title_counter;lyrics_counter
abandon;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
ability;noun;False;True;False;False;False;False;False;False;False;False;0;0
able;adjective;False;False;True;False;False;False;False;False;False;False;0;1
absence;noun;False;True;False;False;False;False;False;False;False;False;0;0
absolute;adjective;False;False;True;False;False;False;False;False;False;False;0;0
abstract;adjective, noun, verb;False;True;True;False;True;False;False;False;False;False;0;0
abuse;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
abusive;adjective;False;False;True;False;False;False;False;False;False;False;0;0
academic;adjective, noun;False;True;True;False;False;False;False;False;False;False;0;0
acceptable;adjective;False;False;True;False;False;False;False;False;False;False;0;0
acceptance;noun;False;True;False;False;False;False;False;False;False;False;0;0
access;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
accident;noun;False;True;False;False;False;False;False;False;False;False;0;0
accolade;noun;False;True;False;False;False;False;False;False;False;False;0;0
accord;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
account;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
accountant;noun;False;True;False;False;False;False;False;False;False;False;0;0
accurate;adjective;False;False;True;False;False;False;False;False;False;False;0;0
ache;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
acronym;noun;False;True;False;False;False;False;False;False;False;False;0;0
act;noun, verb;False;True;False;False;True;False;False;False;False;False;1;10
action;noun;False;True;False;False;False;False;False;False;False;False;0;0
active;adjective;False;False;True;False;False;False;False;False;False;False;0;0
activity;noun;False;True;False;False;False;False;False;False;False;False;0;0
actor;noun;False;True;False;False;False;False;False;False;False;False;0;0
actress;noun;False;True;False;False;False;False;False;False;False;False;0;0
actual;adjective;False;False;True;False;False;False;False;False;False;False;0;0
ad;noun;False;True;False;False;False;False;False;False;False;False;0;0
addiction;noun;False;True;False;False;False;False;False;False;False;False;0;0
addition;noun;False;True;False;False;False;False;False;False;False;False;0;0
additional;adjective;False;False;True;False;False;False;False;False;False;False;0;0
address;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
adequate;adjective;False;False;True;False;False;False;False;False;False;False;0;0
administration;noun;False;True;False;False;False;False;False;False;False;False;0;0
admiration;noun;False;True;False;False;False;False;False;False;False;False;0;0
admission;noun;False;True;False;False;False;False;False;False;False;False;0;0
adoption;noun;False;True;False;False;False;False;False;False;False;False;0;0
adult;noun, adjective;False;True;True;False;False;False;False;False;False;False;0;0
advance;verb, noun, adjective;False;True;True;False;True;False;False;False;False;False;0;0
advantage;noun;False;True;False;False;False;False;False;False;False;False;0;0
adventure;noun;False;True;False;False;False;False;False;False;False;False;0;0
adventurous;adjective;False;False;True;False;False;False;False;False;False;False;0;0
advertisement;noun;False;True;False;False;False;False;False;False;False;False;0;0
advice;noun;False;True;False;False;False;False;False;False;False;False;0;1
affair;noun;False;True;False;False;False;False;False;False;False;False;0;0
affection;noun;False;True;False;False;False;False;False;False;False;False;0;2
affectionate;adjective;False;False;True;False;False;False;False;False;False;False;0;0
afraid;adjective;False;False;True;False;False;False;False;False;False;False;0;4
afternoon;noun;False;True;False;False;False;False;False;False;False;False;0;1
age;noun, verb;False;True;False;False;True;False;False;False;False;False;0;1
aged;adjective;False;False;True;False;False;False;False;False;False;False;0;0
agency;noun;False;True;False;False;False;False;False;False;False;False;0;0
agenda;noun;False;True;False;False;False;False;False;False;False;False;0;0
agent;noun;False;True;False;False;False;False;False;False;False;False;0;0
aggravation;noun;False;True;False;False;False;False;False;False;False;False;0;0
aggressive;adjective;False;False;True;False;False;False;False;False;False;False;0;0
agreement;noun;False;True;False;False;False;False;False;False;False;False;0;0
agriculture;noun;False;True;False;False;False;False;False;False;False;False;0;0
aid;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
aim;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
air;noun, verb;False;True;False;False;True;False;False;False;False;False;0;2
air;noun;False;True;False;False;False;False;False;False;False;False;0;2
airplane;noun;False;True;False;False;False;False;False;False;False;False;0;0
airport;noun;False;True;False;False;False;False;False;False;False;False;0;0
aisle;noun;False;True;False;False;False;False;False;False;False;False;0;0
alacrity;noun;False;True;False;False;False;False;False;False;False;False;0;0
alarm;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
alcohol;noun;False;True;False;False;False;False;False;False;False;False;0;0
alert;adjective, noun, verb;False;True;True;False;True;False;False;False;False;False;0;0
alibi;noun;False;True;False;False;False;False;False;False;False;False;0;0
alimony;noun;False;True;False;False;False;False;False;False;False;False;0;0
alive;adjective;False;False;True;False;False;False;False;False;False;False;0;0
allergy;noun;False;True;False;False;False;False;False;False;False;False;0;0
allowance;noun;False;True;False;False;False;False;False;False;False;False;0;0
alphabet;noun;False;True;False;False;False;False;False;False;False;False;0;0
alternative;adjective, noun;False;True;True;False;False;False;False;False;False;False;0;0
amateur;noun;False;True;False;False;False;False;False;False;False;False;0;0
ambiguous;adjective;False;False;True;False;False;False;False;False;False;False;0;0
ambition;noun;False;True;False;False;False;False;False;False;False;False;0;0
ambitious;adjective;False;False;True;False;False;False;False;False;False;False;0;0
amount;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
analogy;noun;False;True;False;False;False;False;False;False;False;False;0;0
analysis;noun;False;True;False;False;False;False;False;False;False;False;0;0
anger;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
angle;noun, verb, verb;False;True;False;False;True;False;False;False;False;False;0;0
angry;adjective;False;False;True;False;False;False;False;False;False;False;0;1
anguish;noun;False;True;False;False;False;False;False;False;False;False;0;0
animal;noun, adjective;False;True;True;False;False;False;False;False;False;False;0;0
ankle;noun;False;True;False;False;False;False;False;False;False;False;0;0
anniversary;noun;False;True;False;False;False;False;False;False;False;False;0;0
annual;adjective, noun;False;True;True;False;False;False;False;False;False;False;0;0
annually;adjective, noun;False;True;True;False;False;False;False;False;False;False;0;0
answer;noun, verb;False;True;False;False;True;False;False;False;False;False;0;20
antihistamine;noun;False;True;False;False;False;False;False;False;False;False;0;0
antonym;noun;False;True;False;False;False;False;False;False;False;False;0;0
anxiety;noun;False;True;False;False;False;False;False;False;False;False;0;0
anxious;adjective;False;False;True;False;False;False;False;False;False;False;0;0
apartment;noun;False;True;False;False;False;False;False;False;False;False;0;0
apology;noun;False;True;False;False;False;False;False;False;False;False;0;0
app;noun;False;True;False;False;False;False;False;False;False;False;0;0
apparent;adjective;False;False;True;False;False;False;False;False;False;False;0;0
appeal;noun, verb;False;True;False;False;True;False;False;False;False;False;0;0
appearance;noun;False;True;False;False;False;False;False;False;False;False;0;0
appetite;noun;False;True;False;False;False;False;False;False;False;False;0;0
apple;noun;False;True;False;False;False;False;False;False;False;False;0;3
application;noun;False;True;False;False;False;False;False;False;False;False;0;0
appointment;noun;False;True;False;False;False;False;False;False;False;False;0;1
approach;verb, noun;False;True;False;False;True;False;False;False;False;False;0;0
